DATASET, CLASSIFIER, FEATURE_SELECTION, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
openjpa,Random Forest,No Sampling,0.9552814835191802,0.980494483426663,0.8592295675749207,0.2425618296868511,1107.0,49.214285714285715,19.214285714285715,24.214285714285715
openjpa,Naive Bayes,No Sampling,0.9568643115996541,0.9647818677973815,0.8236972343430636,0.2533886345101202,2179.6428571428573,93.42857142857143,43.42857142857143,82.78571428571429
openjpa,IBk,No Sampling,0.9563158957496817,0.958775093903311,0.7898613073007521,0.23630771017673302,3252.0,141.21428571428572,64.07142857142857,141.64285714285714
openjpa,Random Forest,Undersampling,0.960971456513897,0.9153745505142875,0.7578888102541929,0.21224168125031614,7252.0,278.2142857142857,200.78571428571428,666.5
openjpa,Naive Bayes,Undersampling,0.9610722902525701,0.9156616311628344,0.7578861573536392,0.21728609351661315,8291.42857142857,317.7142857142857,229.71428571428572,758.2857142857143
openjpa,IBk,Undersampling,0.9623493065034648,0.8920959061604875,0.7488865877613556,0.19680960354084734,9092.07142857143,334.7142857142857,281.14285714285717,1088.857142857143
openjpa,Random Forest,Oversampling,0.9570499663452143,0.9535980034009492,0.7980451552520752,0.2282893017582368,4311.928571428572,183.64285714285714,90.07142857142857,212.92857142857142
openjpa,Naive Bayes,Oversampling,0.957948946779731,0.9510787896526678,0.7868601340799208,0.23790178010666274,5374.571428571428,224.0,118.14285714285714,281.5
openjpa,IBk,Oversampling,0.958264866868922,0.9432924109672262,0.770923941981943,0.22827880020723826,6399.785714285715,264.57142857142856,146.0,387.5
openjpa,Random Forest,SMOTE,0.9530392106282776,0.8901870020440493,0.7696950738551557,0.2472726954565872,12159.0,702.7857142857143,2368.285714285714,1842.7142857142858
openjpa,Naive Bayes,SMOTE,0.9343444034202119,0.901816005378793,0.7541386014496082,0.23445713585665504,15757.42857142857,2196.0,3330.285714285714,2065.0714285714284
openjpa,IBk,SMOTE,0.9353096813293005,0.8977204807923668,0.7510603551019162,0.2362860844103288,18680.214285714286,2729.214285714286,5252.285714285715,2963.0714285714284
